starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 15 14:46:53 2017	1513345613	45	264	308	221
Fri Dec 15 14:47:07 2017	1513345627	45	263	308	220
Fri Dec 15 14:46:08 2017	1513345568	45	263	308	220
Fri Dec 15 14:45:50 2017	1513345550	44	264	308	222
Fri Dec 15 14:45:10 2017	1513345510	45	264	308	221
Fri Dec 15 14:47:36 2017	1513345656	45	263	308	220
Fri Dec 15 14:47:36 2017	1513345656	45	263	308	221
Fri Dec 15 14:49:19 2017	1513345759	44	264	308	221
Fri Dec 15 14:47:41 2017	1513345661	44	264	308	221
Fri Dec 15 14:47:44 2017	1513345664	47	261	308	220
Fri Dec 15 14:48:01 2017	1513345681	45	263	308	220
Fri Dec 15 14:49:41 2017	1513345781	45	263	308	221
Fri Dec 15 14:45:16 2017	1513345516	45	263	308	221
Fri Dec 15 14:49:19 2017	1513345759	45	263	308	221
Fri Dec 15 14:45:41 2017	1513345541	45	264	308	221
Fri Dec 15 14:49:20 2017	1513345760	45	263	308	221
Fri Dec 15 14:47:54 2017	1513345674	44	264	308	220
Fri Dec 15 14:45:37 2017	1513345537	45	263	308	221
Fri Dec 15 14:47:48 2017	1513345668	45	264	308	221
Fri Dec 15 14:45:09 2017	1513345509	47	262	308	220
Fri Dec 15 14:44:52 2017	1513345492	46	262	308	220
Fri Dec 15 14:45:06 2017	1513345506	44	264	308	221
Fri Dec 15 14:46:09 2017	1513345569	45	263	308	220
Fri Dec 15 14:48:56 2017	1513345736	44	264	308	220
Fri Dec 15 14:48:37 2017	1513345717	45	263	308	221
Fri Dec 15 14:48:03 2017	1513345683	45	263	308	220
Fri Dec 15 14:48:37 2017	1513345717	44	265	308	223
Fri Dec 15 14:47:24 2017	1513345644	45	263	308	220
Fri Dec 15 14:46:36 2017	1513345596	46	262	308	220
Fri Dec 15 14:45:39 2017	1513345539	45	264	308	221
Fri Dec 15 14:48:38 2017	1513345718	45	264	309	221
Fri Dec 15 14:45:04 2017	1513345504	44	264	309	220
Fri Dec 15 14:44:51 2017	1513345491	45	264	309	222
Fri Dec 15 14:48:16 2017	1513345696	46	262	309	220
Fri Dec 15 14:46:09 2017	1513345569	45	264	309	221
Fri Dec 15 14:46:15 2017	1513345575	44	264	309	221
Fri Dec 15 14:45:16 2017	1513345516	46	263	309	220
Fri Dec 15 14:49:19 2017	1513345759	45	264	309	221
Fri Dec 15 14:47:25 2017	1513345645	44	264	309	221
Fri Dec 15 14:45:03 2017	1513345503	45	263	309	221
Fri Dec 15 14:47:05 2017	1513345625	44	264	309	223
Fri Dec 15 14:48:20 2017	1513345700	45	264	309	221
Fri Dec 15 14:48:13 2017	1513345693	47	262	309	220
Fri Dec 15 14:47:52 2017	1513345672	44	265	309	221
Fri Dec 15 14:45:57 2017	1513345557	44	265	309	223
Fri Dec 15 14:48:04 2017	1513345684	44	265	309	221
Fri Dec 15 14:49:40 2017	1513345780	44	265	309	221
Fri Dec 15 14:47:33 2017	1513345653	46	263	309	221
Fri Dec 15 14:47:44 2017	1513345664	45	264	309	223
