starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 15 14:31:57 2017	1513344717	45	52	97	47
Fri Dec 15 14:32:16 2017	1513344736	45	53	97	47
Fri Dec 15 14:32:57 2017	1513344777	46	51	97	48
Fri Dec 15 14:31:52 2017	1513344712	45	53	97	46
Fri Dec 15 14:32:36 2017	1513344756	45	52	97	47
Fri Dec 15 14:32:16 2017	1513344736	46	52	97	47
Fri Dec 15 14:32:25 2017	1513344745	47	50	97	46
Fri Dec 15 14:32:59 2017	1513344779	45	52	97	45
Fri Dec 15 14:31:47 2017	1513344707	46	51	97	49
Fri Dec 15 14:31:51 2017	1513344711	45	52	97	46
Fri Dec 15 14:32:58 2017	1513344778	45	52	97	47
Fri Dec 15 14:31:48 2017	1513344708	47	50	97	46
Fri Dec 15 14:33:29 2017	1513344809	46	51	97	49
Fri Dec 15 14:32:44 2017	1513344764	46	51	97	47
Fri Dec 15 14:31:58 2017	1513344718	45	52	98	46
Fri Dec 15 14:33:00 2017	1513344780	45	52	98	44
Fri Dec 15 14:31:50 2017	1513344710	46	52	98	46
Fri Dec 15 14:33:11 2017	1513344791	46	52	98	47
Fri Dec 15 14:33:15 2017	1513344795	47	50	98	44
Fri Dec 15 14:33:16 2017	1513344796	45	52	98	47
Fri Dec 15 14:32:45 2017	1513344765	46	52	98	47
Fri Dec 15 14:32:56 2017	1513344776	44	54	98	46
Fri Dec 15 14:32:52 2017	1513344772	46	52	98	47
Fri Dec 15 14:33:11 2017	1513344791	46	51	98	47
Fri Dec 15 14:32:52 2017	1513344772	45	53	98	48
Fri Dec 15 14:32:40 2017	1513344760	46	52	98	47
Fri Dec 15 14:32:07 2017	1513344727	47	51	98	47
Fri Dec 15 14:31:56 2017	1513344716	48	50	98	46
Fri Dec 15 14:31:47 2017	1513344707	46	52	98	48
Fri Dec 15 14:31:52 2017	1513344712	46	51	98	48
Fri Dec 15 14:32:06 2017	1513344726	48	50	98	46
Fri Dec 15 14:32:14 2017	1513344734	46	52	98	45
Fri Dec 15 14:33:20 2017	1513344800	46	52	98	48
Fri Dec 15 14:32:25 2017	1513344745	46	52	98	46
Fri Dec 15 14:33:18 2017	1513344798	48	50	98	47
Fri Dec 15 14:32:23 2017	1513344743	47	51	98	47
Fri Dec 15 14:32:49 2017	1513344769	46	52	98	47
Fri Dec 15 14:32:16 2017	1513344736	44	54	98	44
Fri Dec 15 14:32:07 2017	1513344727	44	54	98	46
Fri Dec 15 14:32:03 2017	1513344723	46	52	98	47
Fri Dec 15 14:32:54 2017	1513344774	44	54	98	48
Fri Dec 15 14:33:20 2017	1513344800	44	54	98	46
Fri Dec 15 14:33:11 2017	1513344791	46	52	98	49
Fri Dec 15 14:32:16 2017	1513344736	47	51	98	47
Fri Dec 15 14:32:56 2017	1513344776	45	53	98	46
Fri Dec 15 14:33:06 2017	1513344786	45	54	98	46
Fri Dec 15 14:33:27 2017	1513344807	46	52	98	48
Fri Dec 15 14:32:47 2017	1513344767	45	54	98	47
Fri Dec 15 14:33:25 2017	1513344805	44	54	98	48
Fri Dec 15 14:33:13 2017	1513344793	48	50	98	48
Fri Dec 15 14:32:19 2017	1513344739	44	54	98	47
Fri Dec 15 14:32:16 2017	1513344736	46	52	98	47
Fri Dec 15 14:33:27 2017	1513344807	46	52	98	48
Fri Dec 15 14:32:59 2017	1513344779	47	51	98	46
Fri Dec 15 14:32:24 2017	1513344744	46	52	98	48
Fri Dec 15 14:32:18 2017	1513344738	48	50	98	46
Fri Dec 15 14:33:28 2017	1513344808	46	52	98	48
Fri Dec 15 14:33:13 2017	1513344793	46	52	98	45
Fri Dec 15 14:32:52 2017	1513344772	46	52	98	50
Fri Dec 15 14:32:58 2017	1513344778	47	51	98	46
Fri Dec 15 14:32:54 2017	1513344774	46	52	98	48
Fri Dec 15 14:33:17 2017	1513344797	45	53	98	47
Fri Dec 15 14:33:17 2017	1513344797	46	53	98	47
Fri Dec 15 14:33:20 2017	1513344800	49	50	98	45
Fri Dec 15 14:33:10 2017	1513344790	47	51	98	46
Fri Dec 15 14:32:55 2017	1513344775	44	54	98	45
Fri Dec 15 14:31:48 2017	1513344708	48	51	98	45
Fri Dec 15 14:32:19 2017	1513344739	46	52	98	47
Fri Dec 15 14:33:20 2017	1513344800	45	53	98	45
Fri Dec 15 14:32:55 2017	1513344775	46	52	98	50
Fri Dec 15 14:33:04 2017	1513344784	46	53	98	48
Fri Dec 15 14:32:40 2017	1513344760	46	52	98	47
Fri Dec 15 14:32:14 2017	1513344734	45	53	98	46
Fri Dec 15 14:33:27 2017	1513344807	46	52	98	47
Fri Dec 15 14:32:58 2017	1513344778	44	54	98	45
Fri Dec 15 14:33:25 2017	1513344805	46	52	98	48
Fri Dec 15 14:32:20 2017	1513344740	46	53	98	47
Fri Dec 15 14:33:18 2017	1513344798	47	52	98	48
Fri Dec 15 14:32:01 2017	1513344721	47	51	98	50
Fri Dec 15 14:32:48 2017	1513344768	46	53	98	46
Fri Dec 15 14:32:00 2017	1513344720	46	53	98	51
Fri Dec 15 14:33:10 2017	1513344790	49	50	98	47
Fri Dec 15 14:32:01 2017	1513344721	46	52	98	49
Fri Dec 15 14:32:07 2017	1513344727	45	53	98	47
Fri Dec 15 14:33:07 2017	1513344787	48	50	98	47
Fri Dec 15 14:32:42 2017	1513344762	47	51	99	46
Fri Dec 15 14:33:14 2017	1513344794	46	53	99	50
Fri Dec 15 14:32:11 2017	1513344731	46	52	99	49
Fri Dec 15 14:31:48 2017	1513344708	44	55	99	45
Fri Dec 15 14:33:09 2017	1513344789	49	50	99	45
Fri Dec 15 14:33:04 2017	1513344784	46	53	99	46
Fri Dec 15 14:33:12 2017	1513344792	46	53	99	49
Fri Dec 15 14:32:28 2017	1513344748	44	54	99	45
Fri Dec 15 14:32:37 2017	1513344757	44	54	99	51
Fri Dec 15 14:33:13 2017	1513344793	47	52	99	47
Fri Dec 15 14:31:53 2017	1513344713	46	53	99	51
Fri Dec 15 14:32:17 2017	1513344737	46	52	99	49
Fri Dec 15 14:32:04 2017	1513344724	47	52	99	46
Fri Dec 15 14:32:24 2017	1513344744	48	51	99	45
Fri Dec 15 14:33:00 2017	1513344780	48	50	99	46
Fri Dec 15 14:32:20 2017	1513344740	46	52	99	48
Fri Dec 15 14:33:01 2017	1513344781	45	54	99	54
Fri Dec 15 14:32:37 2017	1513344757	46	53	99	48
Fri Dec 15 14:32:01 2017	1513344721	47	52	99	45
Fri Dec 15 14:32:14 2017	1513344734	47	52	99	46
Fri Dec 15 14:32:43 2017	1513344763	47	51	99	47
Fri Dec 15 14:33:27 2017	1513344807	46	53	99	49
Fri Dec 15 14:32:05 2017	1513344725	46	53	99	48
Fri Dec 15 14:32:19 2017	1513344739	45	54	99	50
Fri Dec 15 14:33:09 2017	1513344789	46	52	99	48
Fri Dec 15 14:32:22 2017	1513344742	47	52	99	48
Fri Dec 15 14:31:50 2017	1513344710	47	52	99	48
Fri Dec 15 14:32:59 2017	1513344779	46	53	99	47
Fri Dec 15 14:33:16 2017	1513344796	47	52	99	47
Fri Dec 15 14:32:03 2017	1513344723	46	53	99	53
Fri Dec 15 14:32:40 2017	1513344760	46	53	99	51
Fri Dec 15 14:33:23 2017	1513344803	46	53	99	50
Fri Dec 15 14:32:59 2017	1513344779	46	53	99	48
Fri Dec 15 14:32:47 2017	1513344767	46	53	99	47
Fri Dec 15 14:33:26 2017	1513344806	46	53	99	49
Fri Dec 15 14:33:16 2017	1513344796	46	53	99	48
Fri Dec 15 14:32:07 2017	1513344727	45	54	99	47
Fri Dec 15 14:33:26 2017	1513344806	48	51	99	47
Fri Dec 15 14:33:11 2017	1513344791	47	52	99	48
Fri Dec 15 14:32:06 2017	1513344726	47	53	99	46
Fri Dec 15 14:31:59 2017	1513344719	47	52	99	47
