starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 15 15:11:58 2017	1513347118	46	50	95	48
Fri Dec 15 15:12:40 2017	1513347160	48	48	95	48
Fri Dec 15 15:11:49 2017	1513347109	47	49	95	47
Fri Dec 15 15:11:45 2017	1513347105	47	48	95	48
Fri Dec 15 15:12:27 2017	1513347147	47	48	95	48
Fri Dec 15 15:12:15 2017	1513347135	47	49	95	49
Fri Dec 15 15:12:43 2017	1513347163	48	48	95	48
Fri Dec 15 15:12:59 2017	1513347179	48	48	96	48
Fri Dec 15 15:11:48 2017	1513347108	48	48	96	47
Fri Dec 15 15:12:10 2017	1513347130	47	49	96	49
Fri Dec 15 15:11:35 2017	1513347095	49	47	96	47
Fri Dec 15 15:11:39 2017	1513347099	46	50	96	48
Fri Dec 15 15:12:56 2017	1513347176	50	46	96	46
Fri Dec 15 15:11:53 2017	1513347113	47	48	96	48
Fri Dec 15 15:13:02 2017	1513347182	46	50	96	50
Fri Dec 15 15:12:08 2017	1513347128	47	49	96	48
Fri Dec 15 15:11:34 2017	1513347094	46	50	96	48
Fri Dec 15 15:11:57 2017	1513347117	46	49	96	48
Fri Dec 15 15:12:47 2017	1513347167	47	49	96	48
Fri Dec 15 15:12:43 2017	1513347163	46	49	96	49
Fri Dec 15 15:13:05 2017	1513347185	47	48	96	48
Fri Dec 15 15:12:57 2017	1513347177	47	48	96	48
Fri Dec 15 15:12:19 2017	1513347139	51	45	96	45
Fri Dec 15 15:11:51 2017	1513347111	47	49	96	48
Fri Dec 15 15:11:58 2017	1513347118	47	49	96	48
Fri Dec 15 15:11:34 2017	1513347094	48	47	96	47
Fri Dec 15 15:12:41 2017	1513347161	49	47	96	47
Fri Dec 15 15:12:01 2017	1513347121	47	49	96	49
Fri Dec 15 15:11:50 2017	1513347110	46	49	96	49
Fri Dec 15 15:11:57 2017	1513347117	46	50	96	50
Fri Dec 15 15:11:31 2017	1513347091	48	48	96	48
Fri Dec 15 15:11:53 2017	1513347113	47	49	96	49
Fri Dec 15 15:12:56 2017	1513347176	47	49	96	49
Fri Dec 15 15:11:32 2017	1513347092	45	51	96	51
Fri Dec 15 15:13:01 2017	1513347181	48	48	96	48
Fri Dec 15 15:12:17 2017	1513347137	46	49	96	49
Fri Dec 15 15:12:09 2017	1513347129	47	49	96	49
Fri Dec 15 15:12:04 2017	1513347124	47	48	96	47
Fri Dec 15 15:12:23 2017	1513347143	46	49	96	48
Fri Dec 15 15:12:19 2017	1513347139	44	51	96	49
Fri Dec 15 15:12:43 2017	1513347163	48	48	96	47
Fri Dec 15 15:11:35 2017	1513347095	47	49	96	48
Fri Dec 15 15:11:38 2017	1513347098	46	50	96	49
Fri Dec 15 15:11:45 2017	1513347105	47	49	96	48
Fri Dec 15 15:12:58 2017	1513347178	49	47	96	46
Fri Dec 15 15:13:10 2017	1513347190	44	52	96	52
Fri Dec 15 15:12:52 2017	1513347172	48	48	96	46
Fri Dec 15 15:12:47 2017	1513347167	47	49	96	48
Fri Dec 15 15:12:33 2017	1513347153	47	49	96	49
Fri Dec 15 15:12:16 2017	1513347136	47	49	96	49
Fri Dec 15 15:12:11 2017	1513347131	45	51	96	49
Fri Dec 15 15:11:36 2017	1513347096	48	48	96	47
Fri Dec 15 15:13:05 2017	1513347185	47	49	96	49
Fri Dec 15 15:12:49 2017	1513347169	45	51	96	50
Fri Dec 15 15:11:40 2017	1513347100	48	48	96	47
Fri Dec 15 15:12:52 2017	1513347172	49	47	96	47
Fri Dec 15 15:12:54 2017	1513347174	50	46	96	46
Fri Dec 15 15:12:05 2017	1513347125	45	51	96	51
Fri Dec 15 15:12:20 2017	1513347140	47	49	96	49
Fri Dec 15 15:11:42 2017	1513347102	47	49	96	48
Fri Dec 15 15:11:35 2017	1513347095	47	49	96	49
Fri Dec 15 15:11:52 2017	1513347112	46	50	96	49
Fri Dec 15 15:12:19 2017	1513347139	46	50	96	50
Fri Dec 15 15:11:34 2017	1513347094	46	51	96	47
Fri Dec 15 15:11:46 2017	1513347106	47	49	96	48
Fri Dec 15 15:12:06 2017	1513347126	45	51	96	50
Fri Dec 15 15:11:29 2017	1513347089	47	49	96	49
Fri Dec 15 15:12:52 2017	1513347172	46	50	96	49
Fri Dec 15 15:12:12 2017	1513347132	47	49	96	48
Fri Dec 15 15:12:02 2017	1513347122	48	48	96	48
Fri Dec 15 15:12:41 2017	1513347161	45	51	96	51
Fri Dec 15 15:12:24 2017	1513347144	45	51	96	51
Fri Dec 15 15:11:36 2017	1513347096	50	46	96	45
Fri Dec 15 15:12:18 2017	1513347138	48	48	96	48
Fri Dec 15 15:12:52 2017	1513347172	45	51	96	49
Fri Dec 15 15:11:57 2017	1513347117	48	48	96	48
Fri Dec 15 15:12:29 2017	1513347149	46	50	96	48
Fri Dec 15 15:12:37 2017	1513347157	47	49	96	48
Fri Dec 15 15:11:50 2017	1513347110	48	49	96	47
Fri Dec 15 15:13:01 2017	1513347181	46	51	96	50
Fri Dec 15 15:13:02 2017	1513347182	47	50	96	49
Fri Dec 15 15:11:53 2017	1513347113	46	50	96	50
Fri Dec 15 15:11:59 2017	1513347119	47	50	96	49
Fri Dec 15 15:11:39 2017	1513347099	47	49	96	48
Fri Dec 15 15:11:46 2017	1513347106	48	49	96	48
Fri Dec 15 15:12:16 2017	1513347136	48	48	96	47
Fri Dec 15 15:12:44 2017	1513347164	46	50	96	47
Fri Dec 15 15:12:57 2017	1513347177	47	49	96	48
Fri Dec 15 15:12:32 2017	1513347152	47	49	96	49
Fri Dec 15 15:13:04 2017	1513347184	48	48	96	47
Fri Dec 15 15:12:53 2017	1513347173	48	49	96	47
Fri Dec 15 15:12:02 2017	1513347122	48	48	96	48
Fri Dec 15 15:11:32 2017	1513347092	48	48	96	48
Fri Dec 15 15:11:55 2017	1513347115	46	51	96	49
Fri Dec 15 15:12:11 2017	1513347131	47	49	96	49
Fri Dec 15 15:12:05 2017	1513347125	49	47	96	47
Fri Dec 15 15:11:40 2017	1513347100	47	49	96	49
Fri Dec 15 15:11:39 2017	1513347099	48	49	96	48
